level,product_id,parent_id,child_id,unit_usage,effective_date,bom_version
1,P001,P001,SA001,1,2026-08-01,A01
1,P001,P001,SA005,1,2026-08-01,A01
1,P001,P001,SA006,1,2026-08-01,A01
1,P002,P002,SA001,1,2026-08-01,A01
1,P002,P002,SA007,1,2026-08-01,A01
1,P002,P002,SA008,1,2026-08-01,A01
1,P003,P003,SA001,1,2026-08-01,A01
1,P003,P003,SA009,1,2026-08-01,A01
1,P003,P003,SA010,1,2026-08-01,A01
1,P004,P004,SA002,1,2026-08-01,A01
1,P004,P004,SA011,1,2026-08-01,A01
1,P004,P004,SA012,1,2026-08-01,A01
1,P005,P005,SA002,1,2026-08-01,A01
1,P005,P005,SA013,1,2026-08-01,A01
1,P005,P005,SA014,1,2026-08-01,A01
1,P006,P006,SA002,1,2026-08-01,A01
1,P006,P006,SA015,1,2026-08-01,A01
1,P006,P006,SA016,1,2026-08-01,A01
1,P007,P007,SA003,1,2026-08-01,A01
1,P007,P007,SA017,1,2026-08-01,A01
1,P007,P007,SA018,1,2026-08-01,A01
1,P008,P008,SA003,1,2026-08-01,A01
1,P008,P008,SA019,1,2026-08-01,A01
1,P008,P008,SA020,1,2026-08-01,A01
1,P009,P009,SA003,1,2026-08-01,A01
1,P009,P009,SA021,1,2026-08-01,A01
1,P009,P009,SA022,1,2026-08-01,A01
1,P010,P010,SA004,1,2026-08-01,A01
1,P010,P010,SA023,1,2026-08-01,A01
1,P010,P010,SA024,1,2026-08-01,A01
1,P011,P011,SA004,1,2026-08-01,A01
1,P011,P011,SA025,1,2026-08-01,A01
1,P011,P011,SA026,1,2026-08-01,A01
1,P012,P012,SA004,1,2026-08-01,A01
1,P012,P012,SA027,1,2026-08-01,A01
1,P012,P012,SA028,1,2026-08-01,A01
2,P001;P002;P003,SA001,M0001,1,2026-08-01,A01
2,P001;P002;P003,SA001,M0002,8,2026-08-01,A01
2,P001;P002;P003,SA001,M0019,2,2026-08-01,A01
2,P001;P002;P003,SA001,M0020,2,2026-08-01,A01
2,P001;P002;P003,SA001,M0030,1,2026-08-01,A01
2,P004;P005;P006,SA002,M0004,4,2026-08-01,A01
2,P004;P005;P006,SA002,M0005,2,2026-08-01,A01
2,P004;P005;P006,SA002,M0023,4,2026-08-01,A01
2,P004;P005;P006,SA002,M0024,8,2026-08-01,A01
2,P004;P005;P006,SA002,M0038,2,2026-08-01,A01
2,P007;P008;P009,SA003,M0007,8,2026-08-01,A01
2,P007;P008;P009,SA003,M0008,8,2026-08-01,A01
2,P007;P008;P009,SA003,M0027,1,2026-08-01,A01
2,P007;P008;P009,SA003,M0028,1,2026-08-01,A01
2,P007;P008;P009,SA003,M0033,8,2026-08-01,A01
2,P010;P011;P012,SA004,M0010,8,2026-08-01,A01
2,P010;P011;P012,SA004,M0011,4,2026-08-01,A01
2,P010;P011;P012,SA004,M0031,2,2026-08-01,A01
2,P010;P011;P012,SA004,M0032,1,2026-08-01,A01
2,P010;P011;P012,SA004,M0021,2,2026-08-01,A01
2,P001,SA005,M0013,1,2026-08-01,A01
2,P001,SA005,M0014,1,2026-08-01,A01
2,P001,SA005,M0035,2,2026-08-01,A01
2,P001,SA005,M0036,2,2026-08-01,A01
2,P001,SA005,M0043,1,2026-08-01,A01
2,P001,SA006,M0016,1,2026-08-01,A01
2,P001,SA006,M0017,1,2026-08-01,A01
2,P001,SA006,M0039,1,2026-08-01,A01
2,P001,SA006,M0040,2,2026-08-01,A01
2,P001,SA006,M0028,2,2026-08-01,A01
2,P002,SA007,M0001,8,2026-08-01,A01
2,P002,SA007,M0002,4,2026-08-01,A01
2,P002,SA007,M0043,4,2026-08-01,A01
2,P002,SA007,M0044,4,2026-08-01,A01
2,P002,SA007,M0022,1,2026-08-01,A01
2,P002,SA008,M0004,1,2026-08-01,A01
2,P002,SA008,M0005,2,2026-08-01,A01
2,P002,SA008,M0047,8,2026-08-01,A01
2,P002,SA008,M0048,4,2026-08-01,A01
2,P002,SA008,M0017,2,2026-08-01,A01
2,P003,SA009,M0007,2,2026-08-01,A01
2,P003,SA009,M0008,1,2026-08-01,A01
2,P003,SA009,M0051,4,2026-08-01,A01
2,P003,SA009,M0052,1,2026-08-01,A01
2,P003,SA009,M0002,1,2026-08-01,A01
2,P003,SA010,M0010,1,2026-08-01,A01
2,P003,SA010,M0011,4,2026-08-01,A01
2,P003,SA010,M0055,1,2026-08-01,A01
2,P003,SA010,M0056,4,2026-08-01,A01
2,P003,SA010,M0070,2,2026-08-01,A01
2,P004,SA011,M0013,1,2026-08-01,A01
2,P004,SA011,M0014,2,2026-08-01,A01
2,P004,SA011,M0059,1,2026-08-01,A01
2,P004,SA011,M0060,4,2026-08-01,A01
2,P004,SA011,M0040,8,2026-08-01,A01
2,P004,SA012,M0016,4,2026-08-01,A01
2,P004,SA012,M0017,2,2026-08-01,A01
2,P004,SA012,M0063,1,2026-08-01,A01
2,P004,SA012,M0064,2,2026-08-01,A01
2,P004,SA012,M0026,1,2026-08-01,A01
2,P005,SA013,M0001,4,2026-08-01,A01
2,P005,SA013,M0002,8,2026-08-01,A01
2,P005,SA013,M0067,1,2026-08-01,A01
2,P005,SA013,M0068,1,2026-08-01,A01
2,P005,SA013,M0009,2,2026-08-01,A01
2,P005,SA014,M0004,2,2026-08-01,A01
2,P005,SA014,M0005,8,2026-08-01,A01
2,P005,SA014,M0071,2,2026-08-01,A01
2,P005,SA014,M0072,2,2026-08-01,A01
2,P005,SA014,M0034,2,2026-08-01,A01
2,P006,SA015,M0007,1,2026-08-01,A01
2,P006,SA015,M0008,2,2026-08-01,A01
2,P006,SA015,M0021,4,2026-08-01,A01
2,P006,SA015,M0022,1,2026-08-01,A01
2,P006,SA016,M0010,2,2026-08-01,A01
2,P006,SA016,M0011,8,2026-08-01,A01
2,P006,SA016,M0025,1,2026-08-01,A01
2,P006,SA016,M0026,2,2026-08-01,A01
2,P006,SA016,M0048,1,2026-08-01,A01
2,P007,SA017,M0013,2,2026-08-01,A01
2,P007,SA017,M0014,1,2026-08-01,A01
2,P007,SA017,M0029,1,2026-08-01,A01
2,P007,SA017,M0030,4,2026-08-01,A01
2,P007,SA017,M0019,2,2026-08-01,A01
2,P007,SA018,M0016,1,2026-08-01,A01
2,P007,SA018,M0017,1,2026-08-01,A01
2,P007,SA018,M0033,2,2026-08-01,A01
2,P007,SA018,M0034,1,2026-08-01,A01
2,P007,SA018,M0046,8,2026-08-01,A01
2,P008,SA019,M0001,4,2026-08-01,A01
2,P008,SA019,M0002,1,2026-08-01,A01
2,P008,SA019,M0037,1,2026-08-01,A01
2,P008,SA019,M0038,2,2026-08-01,A01
2,P008,SA019,M0016,1,2026-08-01,A01
2,P008,SA020,M0004,2,2026-08-01,A01
2,P008,SA020,M0005,1,2026-08-01,A01
2,P008,SA020,M0041,2,2026-08-01,A01
2,P008,SA020,M0042,4,2026-08-01,A01
2,P008,SA020,M0026,2,2026-08-01,A01
2,P009,SA021,M0007,2,2026-08-01,A01
2,P009,SA021,M0008,2,2026-08-01,A01
2,P009,SA021,M0045,2,2026-08-01,A01
2,P009,SA021,M0046,8,2026-08-01,A01
2,P009,SA021,M0058,4,2026-08-01,A01
2,P009,SA022,M0010,1,2026-08-01,A01
2,P009,SA022,M0011,8,2026-08-01,A01
2,P009,SA022,M0049,8,2026-08-01,A01
2,P009,SA022,M0050,8,2026-08-01,A01
2,P009,SA022,M0066,4,2026-08-01,A01
2,P010,SA023,M0013,1,2026-08-01,A01
2,P010,SA023,M0014,4,2026-08-01,A01
2,P010,SA023,M0053,1,2026-08-01,A01
2,P010,SA023,M0054,1,2026-08-01,A01
2,P010,SA023,M0072,4,2026-08-01,A01
2,P010,SA024,M0016,1,2026-08-01,A01
2,P010,SA024,M0017,8,2026-08-01,A01
2,P010,SA024,M0057,2,2026-08-01,A01
2,P010,SA024,M0058,2,2026-08-01,A01
2,P010,SA024,M0063,4,2026-08-01,A01
2,P011,SA025,M0001,2,2026-08-01,A01
2,P011,SA025,M0002,2,2026-08-01,A01
2,P011,SA025,M0061,1,2026-08-01,A01
2,P011,SA025,M0062,1,2026-08-01,A01
2,P011,SA026,M0004,1,2026-08-01,A01
2,P011,SA026,M0005,2,2026-08-01,A01
2,P011,SA026,M0065,1,2026-08-01,A01
2,P011,SA026,M0066,1,2026-08-01,A01
2,P011,SA026,M0046,1,2026-08-01,A01
2,P012,SA027,M0007,8,2026-08-01,A01
2,P012,SA027,M0008,2,2026-08-01,A01
2,P012,SA027,M0069,2,2026-08-01,A01
2,P012,SA027,M0070,8,2026-08-01,A01
2,P012,SA027,M0024,1,2026-08-01,A01
2,P012,SA028,M0010,1,2026-08-01,A01
2,P012,SA028,M0011,1,2026-08-01,A01
2,P012,SA028,M0019,1,2026-08-01,A01
2,P012,SA028,M0020,2,2026-08-01,A01
2,P012,SA028,M0018,1,2026-08-01,A01
