source_type,supplier_id,document_id,order_date,promised_date,confirmed_date,actual_date,ordered_qty,received_qty,data_version
DEMO,SUP-DEMO-A,PO-A-01,2026-01-01,2026-01-15,2026-01-15,2026-01-15,1000,1000,DEMO-SUP-V1
DEMO,SUP-DEMO-A,PO-A-02,2026-01-08,2026-01-22,2026-01-22,2026-01-23,1200,1200,DEMO-SUP-V1
DEMO,SUP-DEMO-A,PO-A-03,2026-01-15,2026-01-29,2026-01-29,2026-01-30,800,790,DEMO-SUP-V1
DEMO,SUP-DEMO-A,PO-A-04,2026-01-22,2026-02-05,2026-02-05,2026-02-05,1500,1500,DEMO-SUP-V1
DEMO,SUP-DEMO-A,PO-A-05,2026-01-29,2026-02-12,2026-02-12,2026-02-14,1000,1000,DEMO-SUP-V1
DEMO,SUP-DEMO-A,PO-A-06,2026-02-05,2026-02-19,2026-02-19,2026-02-20,1000,1000,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-01,2026-01-01,2026-01-15,2026-01-18,2026-01-22,1000,900,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-02,2026-01-08,2026-01-22,2026-01-25,2026-01-30,1000,850,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-03,2026-01-15,2026-01-29,,2026-02-05,1000,800,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-04,2026-01-22,2026-02-05,2026-02-08,2026-02-12,1000,950,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-05,2026-01-29,2026-02-12,2026-02-15,2026-02-20,1000,900,DEMO-SUP-V1
DEMO,SUP-DEMO-B,PO-B-06,2026-02-05,2026-02-19,,2026-02-28,1000,700,DEMO-SUP-V1
