source_type,case_id,material_id,plant,week_start,on_hand,frozen,quality_hold,allocated,reusable_return,gross_demand,reserved_demand,safety_stock,po_receipt,production_receipt,transfer_in,transfer_out,data_version
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-07-27,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-08-03,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-08-10,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-08-17,12000,500,0,500,0,1200,0,2400,8000,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-08-24,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-08-31,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-09-07,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-09-14,12000,500,0,500,0,1200,0,2400,8000,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-09-21,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-09-28,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-10-05,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-10-12,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE1,MAT-A,DEMO_PLANT,2026-10-19,12000,500,0,500,0,1200,0,2400,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-07-27,5000,500,0,0,0,800,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-07-27,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-08-03,5000,500,0,0,0,1000,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-08-03,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-08-10,5000,500,0,0,0,1200,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-08-10,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-08-17,5000,500,0,0,0,1400,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-08-17,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-08-24,5000,500,0,0,0,1600,0,2000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-08-24,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-08-31,5000,500,0,0,0,1800,0,2000,5000,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,SOURCE_PLANT,2026-08-31,8000,0,0,0,0,400,0,1000,0,0,0,0,DEMO-INV-V1
DEMO,CASE2,MAT-B,TARGET_PLANT,2026-09-07,5000,500,0,0,0,1800,0,2000,0,0,0,0,DEMO-INV-V1
