material_id,material_name,material_category,plant,supplier_id,dedication_type,shared_models,shared_model_count,lead_time_days,unit_price,demand_4w,demand_8w,demand_12w,forecast_cv,buffer_rate,uncertainty_buffer_qty,safety_stock,protected_qty,on_hand,open_po,total_supply,book_excess_qty,decision_excess_qty,shortage_qty,coverage_weeks,shelf_life_days,average_age_days,remaining_shelf_life_days,expiry_ratio,related_lifecycle_mix,eom_model_count,active_model_count,cross_plant_absorb_qty,cross_plant_targets,active_shared_models,extended_active_model_demand_14w,cross_model_absorb_qty,book_excess_value,decision_excess_value,cancelable_po_qty,reschedulable_po_qty,locked_po_qty,cancellation_penalty_rate,ecn_target_material,ecn_compatibility_score,ecn_potential_consume_qty,supplier_return_qty,residual_stranded_qty,residual_stranded_value,risk_type,risk_score,severity,primary_action,action_summary,approval_status
M0049,铜排-049,五金件,华东工厂,SUP014,专用料,P009,1,60,67.41,9040,13768,13768,0.824,0.15,2065,574,2639,25356,11014,36370,22602,19963,0,31.7,1095,827,268,0.755,EOM:1,1,0,0,,,0,0,1523600.82,1345705.83,3855,2754,4405,0.08,M0034,78,11793,0,1561,105227.01,结构性/呆滞冗余,80,Critical,取消/减量未锁定PO,P0:取消/减量未锁定PO 3855；P1:延期在途PO至滚动需求窗口外 2754；P4:ECN切换消耗 11793；P6:长期消耗/计提/报废评审 1561,待人工审批
M0041,控制板-041,PCB/电子料,华南工厂,SUP015,专用料,P008,1,7,263.75,1060,1618,1618,0.82,0.15,243,67,310,2979,1294,4273,2655,2345,0,31.7,365,226,139,0.619,EOM预警:1,1,0,0,,,0,0,700256.25,618493.75,453,324,517,0.08,M0031,96,2345,0,0,0.0,可转移/可切换冗余,70,High,取消/减量未锁定PO,P0:取消/减量未锁定PO 453；P1:延期在途PO至滚动需求窗口外 324；P4:ECN切换消耗 1568,待人工审批
M0045,磁芯-045,磁性件,华东工厂,SUP006,专用料,P009,1,45,288.22,2260,3442,3442,0.824,0.15,516,143,659,6338,2753,9091,5649,4990,0,31.7,730,334,396,0.458,EOM:1,1,0,0,,,0,0,1628154.78,1438217.8,964,688,1101,0.08,M0005,88,4990,0,0,0.0,可转移/可切换冗余,69,High,取消/减量未锁定PO,P0:取消/减量未锁定PO 964；P1:延期在途PO至滚动需求窗口外 688；P4:ECN切换消耗 3338,待人工审批
M0042,控制线缆-042,电缆/线束,华南工厂,SUP001,专用料,P008,1,21,165.34,2120,3236,3236,0.82,0.15,485,135,620,5959,2588,8547,5311,4691,0,31.7,1095,568,527,0.519,EOM预警:1,1,0,0,,,0,0,878120.74,775609.94,906,647,1035,0.08,M0007,83,4691,0,0,0.0,可转移/可切换冗余,69,High,取消/减量未锁定PO,P0:取消/减量未锁定PO 906；P1:延期在途PO至滚动需求窗口外 647；P4:ECN切换消耗 3138,待人工审批
M0050,变压器-050,磁性件,华东工厂,SUP010,专用料,P009,1,30,9.84,9040,13768,13768,0.824,0.15,2065,574,2639,25356,11014,36370,22602,19963,0,31.7,730,519,211,0.711,EOM:1,1,0,0,,,0,0,222403.68,196435.92,3855,2754,4405,0.08,M0005,71,19963,0,0,0.0,可转移/可切换冗余,59,High,取消/减量未锁定PO,P0:取消/减量未锁定PO 3855；P1:延期在途PO至滚动需求窗口外 2754；P4:ECN切换消耗 13354,待人工审批
M0037,高压线束-037,电缆/线束,华南工厂,SUP004,专用料,P008,1,3,145.73,530,809,809,0.82,0.15,121,34,155,1490,647,2137,1328,1173,0,31.7,1095,383,712,0.35,EOM预警:1,1,0,0,,,0,0,193529.44,170941.29,226,162,259,0.08,M0007,88,1173,0,0,0.0,可转移/可切换冗余,54,Medium,取消/减量未锁定PO,P0:取消/减量未锁定PO 226；P1:延期在途PO至滚动需求窗口外 162；P4:ECN切换消耗 785,待人工审批
M0033,支架-033,塑胶件,华东工厂,SUP009,共用料,P007;P008;P009,3,7,319.51,54280,123748,176648,0.145,0.05,8832,7630,16462,137058,106057,243115,66467,50005,0,16.5,730,600,130,0.822,EOM:1;EOM预警:1;Pilot:1,2,1,10410,华南工厂:10410,P007,185150,39595,21236871.17,15977097.55,68937,26514,10606,0.03,,0,0,0,0,0.0,可预防在途冗余,33,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 50005,待人工审批
M0069,散热件-069,五金件,华南工厂,SUP015,专用料,P012,1,3,232.53,3322,8762,9382,0.633,0.15,1407,391,1798,9463,4307,13770,4388,2590,0,17.6,1095,492,603,0.449,Pilot:1,0,1,0,,P012,2170,0,1020341.64,602252.7,1507,1077,1723,0.08,M0014,88,2590,0,0,0.0,可预防在途冗余,33,Low,取消/减量未锁定PO,P0:取消/减量未锁定PO 1507；P1:延期在途PO至滚动需求窗口外 1077；P4:ECN切换消耗 6,待人工审批
M0031,控制板-031,PCB/电子料,华南工厂,SUP015,共用料,P010;P011;P012,3,3,264.87,16704,34888,45368,0.232,0.05,2268,1890,4158,64688,0,64688,19320,15162,0,17.1,365,201,164,0.551,EOM预警:1;Pilot:1;SOP:1,1,2,0,,P010;P012,36680,15162,5117288.4,4015958.94,0,0,0,0.0,,0,0,0,0,0.0,可转移/可切换冗余,30,Low,共用机型优先消耗,P3:共用机型优先消耗 15162,待人工审批
M0070,电感-070,磁性件,华南工厂,SUP015,共用料,P003;P012,2,7,83.37,13288,35048,37528,0.633,0.15,5629,1698,7327,64784,0,64784,27256,19929,0,20.7,730,549,181,0.752,Pilot:1;SOP:1,0,2,785,华东工厂:785,P012,8680,8680,2272332.72,1661480.73,0,0,0,0.0,M0060,87,7692,0,2772,231101.64,可转移/可切换冗余,30,Low,跨工厂调拨,P2:跨工厂调拨 785；P3:共用机型优先消耗 8680；P4:ECN切换消耗 7692；P6:长期消耗/计提/报废评审 2772,待人工审批
