version,product_id,week_no,week_start,demand_qty,plant,lifecycle
V_CURR,P001,1,2026-08-03,1039,华东工厂,Pilot
V_CURR,P001,2,2026-08-10,961,华东工厂,Pilot
V_CURR,P001,3,2026-08-17,943,华东工厂,Pilot
V_CURR,P001,4,2026-08-24,1065,华东工厂,Pilot
V_CURR,P001,5,2026-08-31,1237,华东工厂,Pilot
V_CURR,P001,6,2026-09-07,1450,华东工厂,Pilot
V_CURR,P001,7,2026-09-14,1367,华东工厂,Pilot
V_CURR,P001,8,2026-09-21,1421,华东工厂,Pilot
V_CURR,P001,9,2026-09-28,1155,华东工厂,Pilot
V_CURR,P001,10,2026-10-05,1312,华东工厂,Pilot
V_CURR,P001,11,2026-10-12,1211,华东工厂,Pilot
V_CURR,P001,12,2026-10-19,1452,华东工厂,Pilot
V_CURR,P002,1,2026-08-03,1126,华南工厂,Pilot
V_CURR,P002,2,2026-08-10,1271,华南工厂,Pilot
V_CURR,P002,3,2026-08-17,1243,华南工厂,Pilot
V_CURR,P002,4,2026-08-24,1500,华南工厂,Pilot
V_CURR,P002,5,2026-08-31,1035,华南工厂,Pilot
V_CURR,P002,6,2026-09-07,1151,华南工厂,Pilot
V_CURR,P002,7,2026-09-14,1052,华南工厂,Pilot
V_CURR,P002,8,2026-09-21,1246,华南工厂,Pilot
V_CURR,P002,9,2026-09-28,1548,华南工厂,Pilot
V_CURR,P002,10,2026-10-05,1578,华南工厂,Pilot
V_CURR,P002,11,2026-10-12,1561,华南工厂,Pilot
V_CURR,P002,12,2026-10-19,1993,华南工厂,Pilot
V_CURR,P003,1,2026-08-03,320,华东工厂,SOP
V_CURR,P003,2,2026-08-10,326,华东工厂,SOP
V_CURR,P003,3,2026-08-17,303,华东工厂,SOP
V_CURR,P003,4,2026-08-24,320,华东工厂,SOP
V_CURR,P003,5,2026-08-31,86,华东工厂,SOP
V_CURR,P003,6,2026-09-07,83,华东工厂,SOP
V_CURR,P003,7,2026-09-14,83,华东工厂,SOP
V_CURR,P003,8,2026-09-21,95,华东工厂,SOP
V_CURR,P003,9,2026-09-28,0,华东工厂,SOP
V_CURR,P003,10,2026-10-05,0,华东工厂,SOP
V_CURR,P003,11,2026-10-12,0,华东工厂,SOP
V_CURR,P003,12,2026-10-19,0,华东工厂,SOP
V_CURR,P004,1,2026-08-03,954,华南工厂,SOP
V_CURR,P004,2,2026-08-10,1193,华南工厂,SOP
V_CURR,P004,3,2026-08-17,1141,华南工厂,SOP
V_CURR,P004,4,2026-08-24,1415,华南工厂,SOP
V_CURR,P004,5,2026-08-31,916,华南工厂,SOP
V_CURR,P004,6,2026-09-07,945,华南工厂,SOP
V_CURR,P004,7,2026-09-14,958,华南工厂,SOP
V_CURR,P004,8,2026-09-21,1121,华南工厂,SOP
V_CURR,P004,9,2026-09-28,693,华南工厂,SOP
V_CURR,P004,10,2026-10-05,809,华南工厂,SOP
V_CURR,P004,11,2026-10-12,783,华南工厂,SOP
V_CURR,P004,12,2026-10-19,915,华南工厂,SOP
V_CURR,P005,1,2026-08-03,546,华东工厂,Develop
V_CURR,P005,2,2026-08-10,607,华东工厂,Develop
V_CURR,P005,3,2026-08-17,503,华东工厂,Develop
V_CURR,P005,4,2026-08-24,591,华东工厂,Develop
V_CURR,P005,5,2026-08-31,1618,华东工厂,Develop
V_CURR,P005,6,2026-09-07,1777,华东工厂,Develop
V_CURR,P005,7,2026-09-14,1546,华东工厂,Develop
V_CURR,P005,8,2026-09-21,1787,华东工厂,Develop
V_CURR,P005,9,2026-09-28,2039,华东工厂,Develop
V_CURR,P005,10,2026-10-05,2412,华东工厂,Develop
V_CURR,P005,11,2026-10-12,2378,华东工厂,Develop
V_CURR,P005,12,2026-10-19,3188,华东工厂,Develop
V_CURR,P006,1,2026-08-03,467,华南工厂,Develop
V_CURR,P006,2,2026-08-10,477,华南工厂,Develop
V_CURR,P006,3,2026-08-17,403,华南工厂,Develop
V_CURR,P006,4,2026-08-24,520,华南工厂,Develop
V_CURR,P006,5,2026-08-31,785,华南工厂,Develop
V_CURR,P006,6,2026-09-07,765,华南工厂,Develop
V_CURR,P006,7,2026-09-14,761,华南工厂,Develop
V_CURR,P006,8,2026-09-21,883,华南工厂,Develop
V_CURR,P006,9,2026-09-28,868,华南工厂,Develop
V_CURR,P006,10,2026-10-05,943,华南工厂,Develop
V_CURR,P006,11,2026-10-12,942,华南工厂,Develop
V_CURR,P006,12,2026-10-19,1152,华南工厂,Develop
V_CURR,P007,1,2026-08-03,1151,华东工厂,Pilot
V_CURR,P007,2,2026-08-10,1189,华东工厂,Pilot
V_CURR,P007,3,2026-08-17,1010,华东工厂,Pilot
V_CURR,P007,4,2026-08-24,1174,华东工厂,Pilot
V_CURR,P007,5,2026-08-31,1587,华东工厂,Pilot
V_CURR,P007,6,2026-09-07,1652,华东工厂,Pilot
V_CURR,P007,7,2026-09-14,1444,华东工厂,Pilot
V_CURR,P007,8,2026-09-21,1791,华东工厂,Pilot
V_CURR,P007,9,2026-09-28,1248,华东工厂,Pilot
V_CURR,P007,10,2026-10-05,1341,华东工厂,Pilot
V_CURR,P007,11,2026-10-12,1264,华东工厂,Pilot
V_CURR,P007,12,2026-10-19,1437,华东工厂,Pilot
V_CURR,P008,1,2026-08-03,110,华南工厂,EOM预警
V_CURR,P008,2,2026-08-10,135,华南工厂,EOM预警
V_CURR,P008,3,2026-08-17,124,华南工厂,EOM预警
