material_id,plant,demand_8w,on_hand,in_transit_po,po_eta_week,safety_stock,need_week,available_before_need,net_gap,surplus_qty,coverage_weeks
M0001,华东工厂,46999,9399,42299,9,10090,3,9399,5391,0,8.8
M0001,华南工厂,89852,17970,80866,9,10090,2,17970,1106,0,8.8
M0002,华东工厂,162208,111915,75957,6,19993,10,187872,0,5671,9.27
M0002,华南工厂,116297,101287,67169,4,19993,11,168456,0,32166,11.59
M0004,华东工厂,53850,34752,47894,9,8963,7,34752,0,19833,12.28
M0004,华南工厂,66058,61015,22795,2,8963,11,83810,0,8789,10.15
M0005,华东工厂,89750,32370,21620,2,11040,6,53990,46800,0,4.81
M0005,华南工厂,47465,29031,35506,10,11040,5,29031,0,6032,10.88
M0007,华东工厂,108426,61712,4337,10,8488,5,61712,50865,0,4.87
M0007,华南工厂,46581,35101,33618,6,8488,,68719,0,13650,11.8
M0008,华东工厂,106810,34192,77943,3,7622,9,112135,2297,0,8.4
M0008,华南工厂,25356,21020,9570,8,7622,7,21020,2388,0,9.65
M0009,华东工厂,17950,10641,3678,1,1583,7,14319,5214,0,6.38
M0010,华东工厂,3337,1967,363,6,8643,4,1967,9650,0,5.59
M0010,华南工厂,154055,148303,65669,7,8643,,213972,0,51274,11.11
M0011,华东工厂,20232,5059,15260,2,7808,,20319,7721,0,8.03
M0011,华南工厂,114645,116802,86754,4,7808,,203556,0,81103,14.2
M0013,华东工厂,31479,20926,12874,1,3209,9,33800,888,0,8.59
M0013,华南工厂,21706,23639,17975,9,3209,,41614,0,16699,15.34
M0014,华东工厂,20481,19039,1134,3,5273,8,20173,5581,0,7.88
M0014,华南工厂,69538,41030,40947,3,5273,10,81977,0,7166,9.43
M0016,华东工厂,20481,3072,5120,8,4045,2,3072,16334,0,3.2
M0016,华南工厂,48444,38534,21951,2,4045,11,60485,0,7996,9.99
M0017,华东工厂,20481,10541,16946,9,9631,5,10541,2625,0,10.74
M0017,华南工厂,141038,65156,64930,1,9631,8,130086,20583,0,7.38
M0018,华南工厂,4381,8080,0,,195,,8080,0,3504,14.75
M0019,华东工厂,44194,32891,5058,3,4264,8,37949,10509,0,6.87
M0019,华南工厂,23629,6472,6560,6,4264,3,6472,14861,0,4.41
M0020,华东工厂,22198,21981,839,9,3102,8,21981,2480,0,8.22
M0020,华南工厂,28010,28618,17863,1,3102,,46481,0,15369,13.28
M0021,华南工厂,55132,34323,19203,1,3385,8,53526,4991,0,7.77
M0022,华南工厂,14685,2937,13216,9,1053,2,2937,0,415,8.8
M0023,华东工厂,35900,32269,3153,1,6634,8,35422,7112,0,7.89
M0023,华南工厂,54816,42924,36289,1,6634,12,79213,0,17763,11.56
M0024,华东工厂,71800,23735,31058,10,13462,5,23735,30469,0,6.11
M0024,华南工厂,114013,94868,85441,4,13462,,180309,0,52834,12.65
M0025,华南工厂,5061,3700,4156,9,374,7,3700,0,2421,12.42
M0026,华南工厂,20383,6848,6574,8,1308,4,6848,8269,0,5.27
M0027,华东工厂,12719,1907,3179,8,784,2,1907,8417,0,3.2
M0027,华南工厂,809,591,19,5,784,6,610,983,0,6.03
M0028,华东工厂,31685,25357,6874,4,2002,9,32231,1456,0,8.14
M0028,华南工厂,809,799,229,7,2002,,1028,1783,0,10.17
M0029,华东工厂,10998,11711,765,3,679,10,12476,0,799,9.08
M0030,华东工厂,55091,16741,22561,6,4070,3,16741,19859,0,5.71
M0030,华南工厂,9624,8075,8025,9,4070,7,8075,0,2406,13.38
M0031,华南工厂,34888,64688,0,,1890,,64688,0,27910,14.83
M0032,华南工厂,17444,16000,7457,1,945,,23457,0,5068,10.76
M0033,华东工厂,123748,137058,106057,7,7630,,243115,0,111737,15.72
M0033,华南工厂,6472,2410,2253,5,7630,3,2410,9439,0,5.76
M0034,华东工厂,28948,31113,19054,7,2261,12,50167,0,18958,13.86
M0035,华东工厂,18966,9197,8759,7,1218,5,9197,2228,0,7.57
M0036,华东工厂,18966,18636,10322,2,1218,12,28958,0,8774,12.21
M0037,华南工厂,809,1490,647,4,34,,2137,0,1294,21.13
M0038,华东工厂,17950,2692,4487,8,3384,3,2692,14155,0,3.2
M0038,华南工厂,29026,26824,5810,9,3384,8,26824,0,224,8.99
M0039,华东工厂,9483,1896,8534,9,609,2,1896,0,338,8.8
M0040,华东工厂,18966,5648,1677,6,5165,3,5648,16806,0,3.09
M0040,华南工厂,69144,23761,27468,7,5165,3,23761,23080,0,5.93
M0041,华南工厂,1618,2979,1294,4,67,,4273,0,2588,21.13
M0042,华南工厂,3236,5959,2588,4,135,,8547,0,5176,21.13
M0043,华东工厂,9483,3372,7121,9,3326,4,3372,2316,0,8.85
M0043,华南工厂,38496,38979,9626,2,3326,10,48605,0,6783,10.1
M0044,华南工厂,38496,72009,0,,2717,,72009,0,30796,14.96
M0045,华东工厂,3442,6338,2753,4,143,,9091,0,5506,21.13
M0046,华东工厂,101752,54655,8215,8,6003,5,54655,44885,0,4.94
M0047,华南工厂,76992,60897,57570,9,5435,7,60897,0,36040,12.31
M0048,华南工厂,43557,14675,29827,2,3091,9,44502,2146,0,8.17
M0049,华东工厂,13768,25356,11014,4,574,,36370,0,22028,21.13
M0050,华东工厂,13768,25356,11014,4,574,,36370,0,22028,21.13
M0051,华东工厂,6464,3895,410,8,269,4,3895,2428,0,5.33
M0052,华东工厂,1616,1111,859,10,67,4,1111,0,287,9.75
M0053,华南工厂,13063,4115,9531,4,750,3,4115,167,0,8.36
M0054,华南工厂,13063,4718,1849,6,750,3,4718,7246,0,4.02
M0055,华东工厂,1616,1557,521,3,67,,2078,0,395,10.29
M0056,华东工厂,6464,1292,5817,9,269,2,1292,0,376,8.8
M0057,华南工厂,26126,48525,0,,1499,,48525,0,20900,14.86
M0058,华东工厂,6884,7133,2010,2,1786,,9143,0,473,10.63
M0058,华南工厂,26126,14734,6273,2,1786,7,21007,6905,0,6.43
M0059,华南工厂,8643,8548,3982,7,493,,12530,0,3394,11.6
M0060,华南工厂,34572,24243,19780,8,1974,6,24243,0,7477,10.19
M0063,华南工厂,60895,32601,11450,9,3492,5,32601,20336,0,5.79
