product_id,product_name,plant,week_no,material_id,material_name,cumulative_unit_usage,finished_good_demand,material_gross_demand,product_lifecycle
P001,电驱控制器-A,华东工厂,1,M0001,控制板-001,1.0,1039,1039,Pilot
P001,电驱控制器-A,华东工厂,2,M0001,控制板-001,1.0,961,961,Pilot
P001,电驱控制器-A,华东工厂,3,M0001,控制板-001,1.0,943,943,Pilot
P001,电驱控制器-A,华东工厂,4,M0001,控制板-001,1.0,1065,1065,Pilot
P001,电驱控制器-A,华东工厂,5,M0001,控制板-001,1.0,1237,1237,Pilot
P001,电驱控制器-A,华东工厂,6,M0001,控制板-001,1.0,1450,1450,Pilot
P001,电驱控制器-A,华东工厂,7,M0001,控制板-001,1.0,1367,1367,Pilot
P001,电驱控制器-A,华东工厂,8,M0001,控制板-001,1.0,1421,1421,Pilot
P001,电驱控制器-A,华东工厂,9,M0001,控制板-001,1.0,1155,1155,Pilot
P001,电驱控制器-A,华东工厂,10,M0001,控制板-001,1.0,1312,1312,Pilot
P001,电驱控制器-A,华东工厂,11,M0001,控制板-001,1.0,1211,1211,Pilot
P001,电驱控制器-A,华东工厂,12,M0001,控制板-001,1.0,1452,1452,Pilot
P001,电驱控制器-A,华东工厂,1,M0002,信号线束-002,8.0,1039,8312,Pilot
P001,电驱控制器-A,华东工厂,2,M0002,信号线束-002,8.0,961,7688,Pilot
P001,电驱控制器-A,华东工厂,3,M0002,信号线束-002,8.0,943,7544,Pilot
P001,电驱控制器-A,华东工厂,4,M0002,信号线束-002,8.0,1065,8520,Pilot
P001,电驱控制器-A,华东工厂,5,M0002,信号线束-002,8.0,1237,9896,Pilot
P001,电驱控制器-A,华东工厂,6,M0002,信号线束-002,8.0,1450,11600,Pilot
P001,电驱控制器-A,华东工厂,7,M0002,信号线束-002,8.0,1367,10936,Pilot
P001,电驱控制器-A,华东工厂,8,M0002,信号线束-002,8.0,1421,11368,Pilot
P001,电驱控制器-A,华东工厂,9,M0002,信号线束-002,8.0,1155,9240,Pilot
