material_id,material_name,material_category,procurement_type,supplier_id,lead_time_days,lt_gt_30,dedication_type,shared_model_count,shared_models,safety_stock,moq,unit_price
SA001,半成品组件-001,半成品,自制,INTERNAL,5,N,共用料,3,P001;P002;P003,0,1,750.89
SA002,半成品组件-002,半成品,自制,INTERNAL,10,N,共用料,3,P004;P005;P006,0,1,582.22
SA003,半成品组件-003,半成品,自制,INTERNAL,14,N,共用料,3,P007;P008;P009,0,1,546.57
SA004,半成品组件-004,半成品,自制,INTERNAL,7,N,共用料,3,P010;P011;P012,0,1,493.04
SA005,半成品组件-005,半成品,自制,INTERNAL,14,N,专用料,1,P001,0,1,654.31
SA006,半成品组件-006,半成品,自制,INTERNAL,14,N,专用料,1,P001,0,1,806.8
SA007,半成品组件-007,半成品,自制,INTERNAL,5,N,专用料,1,P002,0,1,166.15
SA008,半成品组件-008,半成品,自制,INTERNAL,10,N,专用料,1,P002,0,1,436.22
SA009,半成品组件-009,半成品,自制,INTERNAL,14,N,专用料,1,P003,0,1,250.46
SA010,半成品组件-010,半成品,自制,INTERNAL,14,N,专用料,1,P003,0,1,897.29
SA011,半成品组件-011,半成品,自制,INTERNAL,7,N,专用料,1,P004,0,1,521.99
SA012,半成品组件-012,半成品,自制,INTERNAL,7,N,专用料,1,P004,0,1,501.76
SA013,半成品组件-013,半成品,自制,INTERNAL,14,N,专用料,1,P005,0,1,311.97
SA014,半成品组件-014,半成品,自制,INTERNAL,7,N,专用料,1,P005,0,1,820.7
SA015,半成品组件-015,半成品,自制,INTERNAL,14,N,专用料,1,P006,0,1,481.0
SA016,半成品组件-016,半成品,自制,INTERNAL,5,N,专用料,1,P006,0,1,755.56
SA017,半成品组件-017,半成品,自制,INTERNAL,5,N,专用料,1,P007,0,1,189.2
SA018,半成品组件-018,半成品,自制,INTERNAL,3,N,专用料,1,P007,0,1,807.64
SA019,半成品组件-019,半成品,自制,INTERNAL,10,N,专用料,1,P008,0,1,765.0
SA020,半成品组件-020,半成品,自制,INTERNAL,3,N,专用料,1,P008,0,1,669.79
SA021,半成品组件-021,半成品,自制,INTERNAL,5,N,专用料,1,P009,0,1,218.95
SA022,半成品组件-022,半成品,自制,INTERNAL,3,N,专用料,1,P009,0,1,265.77
SA023,半成品组件-023,半成品,自制,INTERNAL,3,N,专用料,1,P010,0,1,292.91
SA024,半成品组件-024,半成品,自制,INTERNAL,14,N,专用料,1,P010,0,1,881.18
SA025,半成品组件-025,半成品,自制,INTERNAL,3,N,专用料,1,P011,0,1,325.19
SA026,半成品组件-026,半成品,自制,INTERNAL,5,N,专用料,1,P011,0,1,693.99
SA027,半成品组件-027,半成品,自制,INTERNAL,5,N,专用料,1,P012,0,1,837.28
SA028,半成品组件-028,半成品,自制,INTERNAL,10,N,专用料,1,P012,0,1,592.02
M0001,控制板-001,PCB/电子料,外购,SUP006,60,Y,共用料,6,P001;P002;P003;P005;P008;P011,10090,1,220.81
M0002,信号线束-002,电缆/线束,外购,SUP010,60,Y,共用料,6,P001;P002;P003;P005;P008;P011,19993,500,186.99
M0003,支架-003,塑胶件,外购,SUP018,7,N,专用料,0,,0,100,281.65
M0004,铜排-004,五金件,外购,SUP004,21,N,共用料,6,P002;P004;P005;P006;P008;P011,8963,1,268.3
M0005,变压器-005,磁性件,外购,SUP009,60,Y,共用料,6,P002;P004;P005;P006;P008;P011,11040,1000,271.47
M0006,控制板-006,PCB/电子料,外购,SUP014,7,N,专用料,0,,0,1,238.09
M0007,高压线束-007,电缆/线束,外购,SUP005,3,N,共用料,6,P003;P006;P007;P008;P009;P012,8488,1,147.6
M0008,盖板-008,塑胶件,外购,SUP010,21,N,共用料,6,P003;P006;P007;P008;P009;P012,7622,500,167.49
M0009,散热件-009,五金件,外购,SUP004,7,N,专用料,1,P005,1583,1,289.33
M0010,电感-010,磁性件,外购,SUP016,3,N,共用料,6,P003;P006;P009;P010;P011;P012,8643,1,46.85
M0011,控制板-011,PCB/电子料,外购,SUP016,3,N,共用料,6,P003;P006;P009;P010;P011;P012,7808,50,326.63
M0012,控制线缆-012,电缆/线束,外购,SUP010,30,N,专用料,0,,0,1,195.31
M0013,壳体-013,塑胶件,外购,SUP014,3,N,共用料,4,P001;P004;P007;P010,3209,1,116.79
M0014,紧固件-014,五金件,外购,SUP011,3,N,共用料,4,P001;P004;P007;P010,5273,1000,201.1
