document_id,material_id,plant,supplier_id,document_status,flexibility_state,open_po_qty,eta_week,cancel_deadline_week,cancelable_qty,reschedulable_qty,locked_qty,cancellation_penalty_rate,approval_required
PR-M0001-工厂,M0001,华东工厂,SUP006,PR_PENDING,PR未下单,42299,9,7,42299,0,0,0,采购经理+计划经理
PO-M0001-工厂,M0001,华南工厂,SUP006,PO_OPEN,PO已确认,80866,9,7,16173,36390,28303,0.08,采购经理+计划经理
PO-M0002-工厂,M0002,华东工厂,SUP010,PO_EXCESS_REVIEW,PO待复核,75957,6,4,49372,18989,7596,0.03,采购经理+计划经理
PO-M0002-工厂,M0002,华南工厂,SUP010,PO_EXCESS_REVIEW,PO待复核,67169,4,2,23509,16792,26868,0.08,采购经理+计划经理
PO-M0004-工厂,M0004,华东工厂,SUP004,PO_EXCESS_REVIEW,PO待复核,47894,9,7,31131,11974,4789,0.03,采购经理+计划经理
PO-M0004-工厂,M0004,华南工厂,SUP004,PO_EXCESS_REVIEW,PO待复核,22795,2,0,7978,3419,11398,0.08,采购经理+计划经理
PO-M0005-工厂,M0005,华东工厂,SUP009,PO_OPEN,PO已确认,21620,2,0,1081,4324,16215,0.15,采购经理+计划经理
PO-M0005-工厂,M0005,华南工厂,SUP009,PO_EXCESS_REVIEW,PO待复核,35506,10,8,23079,8876,3551,0.03,采购经理+计划经理
PO-M0007-工厂,M0007,华东工厂,SUP005,PO_OPEN,PO已确认,4337,10,8,867,1952,1518,0.08,采购经理+计划经理
PO-M0007-工厂,M0007,华南工厂,SUP005,PO_EXCESS_REVIEW,PO待复核,33618,6,4,21852,8404,3362,0.03,采购经理+计划经理
PR-M0008-工厂,M0008,华东工厂,SUP010,PR_PENDING,PR未下单,77943,3,1,77943,0,0,0,采购经理+计划经理
PO-M0008-工厂,M0008,华南工厂,SUP010,PO_OPEN,PO已确认,9570,8,6,1914,4306,3350,0.08,采购经理+计划经理
PO-M0009-工厂,M0009,华东工厂,SUP004,PO_OPEN,PO已确认,3678,1,0,184,736,2758,0.15,采购经理+计划经理
PO-M0010-工厂,M0010,华东工厂,SUP016,PO_OPEN,PO已确认,363,6,4,18,163,182,0.15,采购经理+计划经理
PO-M0010-工厂,M0010,华南工厂,SUP016,PO_EXCESS_REVIEW,PO待复核,65669,7,5,42685,16417,6567,0.03,采购经理+计划经理
