document_id,material_id,plant,supplier_id,status,open_qty,eta_week,buyer_owner
PR-M0001-工厂,M0001,华东工厂,SUP006,PR_PENDING,5391,9,采购1
PO-M0001-工厂,M0001,华南工厂,SUP006,PO_OPEN,80866,9,采购1
PO-M0002-工厂,M0002,华东工厂,SUP010,PO_EXCESS_REVIEW,75957,6,采购2
PO-M0002-工厂,M0002,华南工厂,SUP010,PO_EXCESS_REVIEW,67169,4,采购2
PO-M0004-工厂,M0004,华东工厂,SUP004,PO_EXCESS_REVIEW,47894,9,采购3
PO-M0004-工厂,M0004,华南工厂,SUP004,PO_EXCESS_REVIEW,22795,2,采购3
PO-M0005-工厂,M0005,华东工厂,SUP009,PO_OPEN,21620,2,采购4
PO-M0005-工厂,M0005,华南工厂,SUP009,PO_EXCESS_REVIEW,35506,10,采购4
PO-M0007-工厂,M0007,华东工厂,SUP005,PO_OPEN,4337,10,采购5
PO-M0007-工厂,M0007,华南工厂,SUP005,PO_EXCESS_REVIEW,33618,6,采购5
PR-M0008-工厂,M0008,华东工厂,SUP010,PR_PENDING,2500,3,采购6
PO-M0008-工厂,M0008,华南工厂,SUP010,PO_OPEN,9570,8,采购6
PO-M0009-工厂,M0009,华东工厂,SUP004,PO_OPEN,3678,1,采购1
PO-M0010-工厂,M0010,华东工厂,SUP016,PO_OPEN,363,6,采购2
PO-M0010-工厂,M0010,华南工厂,SUP016,PO_EXCESS_REVIEW,65669,7,采购2
PO-M0011-工厂,M0011,华东工厂,SUP016,PO_OPEN,15260,2,采购3
PO-M0011-工厂,M0011,华南工厂,SUP016,PO_EXCESS_REVIEW,86754,4,采购3
PO-M0013-工厂,M0013,华东工厂,SUP014,PO_OPEN,12874,1,采购4
PO-M0013-工厂,M0013,华南工厂,SUP014,PO_EXCESS_REVIEW,17975,9,采购4
PR-M0014-工厂,M0014,华东工厂,SUP011,PR_PENDING,6000,3,采购5
PO-M0014-工厂,M0014,华南工厂,SUP011,PO_EXCESS_REVIEW,40947,3,采购5
PO-M0016-工厂,M0016,华东工厂,SUP016,PO_OPEN,5120,8,采购6
PO-M0016-工厂,M0016,华南工厂,SUP016,PO_EXCESS_REVIEW,21951,2,采购6
PO-M0017-工厂,M0017,华东工厂,SUP002,PO_OPEN,16946,9,采购1
PO-M0017-工厂,M0017,华南工厂,SUP002,PO_OPEN,64930,1,采购1
PO-M0018-工厂,M0018,华南工厂,SUP011,NO_ACTION,0,,采购2
PO-M0019-工厂,M0019,华东工厂,SUP015,PO_OPEN,5058,3,采购3
PR-M0019-工厂,M0019,华南工厂,SUP015,PR_PENDING,15000,6,采购3
PR-M0020-工厂,M0020,华东工厂,SUP014,PR_PENDING,2480,9,采购4
PO-M0020-工厂,M0020,华南工厂,SUP014,PO_EXCESS_REVIEW,17863,1,采购4
PO-M0021-工厂,M0021,华南工厂,SUP003,PO_OPEN,19203,1,采购5
PO-M0022-工厂,M0022,华南工厂,SUP014,PO_EXCESS_REVIEW,13216,9,采购6
PO-M0023-工厂,M0023,华东工厂,SUP007,PO_OPEN,3153,1,采购1
PO-M0023-工厂,M0023,华南工厂,SUP007,PO_EXCESS_REVIEW,36289,1,采购1
PO-M0024-工厂,M0024,华东工厂,SUP019,PO_OPEN,31058,10,采购2
PO-M0024-工厂,M0024,华南工厂,SUP019,PO_EXCESS_REVIEW,85441,4,采购2
PO-M0025-工厂,M0025,华南工厂,SUP009,PO_EXCESS_REVIEW,4156,9,采购3
PO-M0026-工厂,M0026,华南工厂,SUP008,PO_OPEN,6574,8,采购4
PO-M0027-工厂,M0027,华东工厂,SUP001,PO_OPEN,3179,8,采购5
PO-M0027-工厂,M0027,华南工厂,SUP001,PO_OPEN,19,5,采购5
PO-M0028-工厂,M0028,华东工厂,SUP011,PO_OPEN,6874,4,采购6
PO-M0028-工厂,M0028,华南工厂,SUP011,PO_OPEN,229,7,采购6
PO-M0029-工厂,M0029,华东工厂,SUP003,PO_EXCESS_REVIEW,765,3,采购1
PR-M0030-工厂,M0030,华东工厂,SUP008,PR_PENDING,20000,6,采购2
PO-M0030-工厂,M0030,华南工厂,SUP008,PO_EXCESS_REVIEW,8025,9,采购2
PO-M0031-工厂,M0031,华南工厂,SUP015,NO_ACTION,0,,采购3
PO-M0032-工厂,M0032,华南工厂,SUP013,PO_EXCESS_REVIEW,7457,1,采购4
PO-M0033-工厂,M0033,华东工厂,SUP009,PO_EXCESS_REVIEW,106057,7,采购5
PO-M0033-工厂,M0033,华南工厂,SUP009,PO_OPEN,2253,5,采购5
PO-M0034-工厂,M0034,华东工厂,SUP009,PO_EXCESS_REVIEW,19054,7,采购6
PR-M0035-工厂,M0035,华东工厂,SUP002,PR_PENDING,2250,7,采购1
PO-M0036-工厂,M0036,华东工厂,SUP001,PO_EXCESS_REVIEW,10322,2,采购2
PO-M0037-工厂,M0037,华南工厂,SUP004,PO_EXCESS_REVIEW,647,4,采购3
PO-M0038-工厂,M0038,华东工厂,SUP019,PO_OPEN,4487,8,采购4
PO-M0038-工厂,M0038,华南工厂,SUP019,PO_EXCESS_REVIEW,5810,9,采购4
PO-M0039-工厂,M0039,华东工厂,SUP019,PO_EXCESS_REVIEW,8534,9,采购5
PR-M0040-工厂,M0040,华东工厂,SUP017,PR_PENDING,16900,6,采购6
PO-M0040-工厂,M0040,华南工厂,SUP017,PO_OPEN,27468,7,采购6
PO-M0041-工厂,M0041,华南工厂,SUP015,PO_EXCESS_REVIEW,1294,4,采购1
PO-M0042-工厂,M0042,华南工厂,SUP001,PO_EXCESS_REVIEW,2588,4,采购2
PO-M0043-工厂,M0043,华东工厂,SUP011,PO_OPEN,7121,9,采购3
PO-M0043-工厂,M0043,华南工厂,SUP011,PO_EXCESS_REVIEW,9626,2,采购3
PO-M0044-工厂,M0044,华南工厂,SUP005,NO_ACTION,0,,采购4
PO-M0045-工厂,M0045,华东工厂,SUP006,PO_EXCESS_REVIEW,2753,4,采购5
PO-M0046-工厂,M0046,华东工厂,SUP003,PO_OPEN,8215,8,采购6
PO-M0047-工厂,M0047,华南工厂,SUP005,PO_EXCESS_REVIEW,57570,9,采购1
PO-M0048-工厂,M0048,华南工厂,SUP005,PO_OPEN,29827,2,采购2
PO-M0049-工厂,M0049,华东工厂,SUP014,PO_EXCESS_REVIEW,11014,4,采购3
PO-M0050-工厂,M0050,华东工厂,SUP010,PO_EXCESS_REVIEW,11014,4,采购4
PO-M0051-工厂,M0051,华东工厂,SUP004,PO_OPEN,410,8,采购5
PO-M0052-工厂,M0052,华东工厂,SUP016,PO_EXCESS_REVIEW,859,10,采购6
PO-M0053-工厂,M0053,华南工厂,SUP009,PO_OPEN,9531,4,采购1
PR-M0054-工厂,M0054,华南工厂,SUP015,PR_PENDING,7500,6,采购2
PO-M0055-工厂,M0055,华东工厂,SUP002,PO_EXCESS_REVIEW,521,3,采购3
PO-M0056-工厂,M0056,华东工厂,SUP011,PO_EXCESS_REVIEW,5817,9,采购4
PO-M0057-工厂,M0057,华南工厂,SUP016,NO_ACTION,0,,采购5
PO-M0058-工厂,M0058,华东工厂,SUP007,PO_EXCESS_REVIEW,2010,2,采购6
PO-M0058-工厂,M0058,华南工厂,SUP007,PO_OPEN,6273,2,采购6
PO-M0059-工厂,M0059,华南工厂,SUP006,PO_EXCESS_REVIEW,3982,7,采购1
PO-M0060-工厂,M0060,华南工厂,SUP015,PO_EXCESS_REVIEW,19780,8,采购2
PO-M0063-工厂,M0063,华南工厂,SUP016,PO_OPEN,11450,9,采购5
PO-M0064-工厂,M0064,华南工厂,SUP002,PO_EXCESS_REVIEW,11550,7,采购6
PO-M0066-工厂,M0066,华东工厂,SUP007,PO_EXCESS_REVIEW,5115,9,采购2
PO-M0067-工厂,M0067,华东工厂,SUP019,PO_OPEN,690,8,采购3
PO-M0068-工厂,M0068,华东工厂,SUP012,PO_OPEN,1786,9,采购4
PO-M0069-工厂,M0069,华南工厂,SUP015,PO_EXCESS_REVIEW,4307,4,采购5
